Designator,Mid X,Mid Y,Layer,Rotation
C1,124.5616,-101.346,top,90
C2,126.5936,-101.346,top,90
C3,122.8116,-105.918,top,0
C4,117.9576,-98.806,top,90
C5,129.1336,-112.268,top,-90
C6,127.1016,-112.268,top,-90
C7,139.192,-131.064,top,-90
C8,135.128,-131.0488,top,90
C9,137.16,-131.064,top,90
C10,133.4516,-111.76,top,0
C11,133.1976,-113.792,top,-90
C12,140.8176,-113.03,top,-90
C13,144.6276,-113.1316,top,-90
C14,146.7612,-112.268,top,0
C15,151.2316,-110.6424,top,0
C16,151.2316,-113.03,top,0
C17,140.8176,-110.744,top,180
C18,175.0418,-111.4552,top,180
C19,170.7388,-85.7504,top,0
C20,176.6316,-92.71,top,-90
C21,172.8216,-99.6696,top,180
C22,170.2816,-87.2236,top,0
C23,163.2204,-92.964,top,-90
C24,175.6664,-92.71,top,-90
C25,172.7708,-98.6536,top,180
C26,133.1976,-106.68,top,0
C27,164.1856,-92.964,top,-90
IC1,127.3556,-107.442,top,-90
IC2,120.7516,-100.33,top,180
IC3,137.0076,-112.268,top,0
IC4,169.926,-92.964,top,-90
IC5,144.4752,-89.408,top,0
IC6,144.4752,-93.1672,top,0
J1,200.406,-102.2604,top,180
J2,190.1952,-48.102,top,0
J3,73.4568,-124.9172,top,180
J4,171.1452,-113.8428,top,90
J5,190.231,-83.3628,top,-90
L1,137.0076,-122.428,top,-90
L2,144.526,-106.68,top,180
Q1,162.052,-40.64,top,0
Q2,130.556,-35.2044,top,0
R1,135.4836,-101.6,top,180
R2,133.1976,-101.6,top,180
R3,122.7836,-106.934,top,0
R4,124.5616,-111.506,top,90
R5,117.7036,-101.346,top,90
R6,121.0056,-103.886,top,0
R7,148.6916,-114.9096,top,180
R8,146.7612,-114.9096,top,180
R9,183.9976,-38.5064,top,180
TH1,113.4872,-108.712,top,-90
U1,103.63,-103.518,top,90
U2,61.72,-103.518,top,90
U3,147.2302,-110.4392,top,90
U4,162.306,-34.29,top,0
U5,130.81,-61.722,top,0
